Year,NomDollars,Percent,Dollars2014
1958,	89,	0.1,	732
1959,	145,	0.2,	1185
1960,	401,	0.5,	3222
1961,	744,	0.9,	5918
1962,	1257,	1.18,	9900
1963,	2552,	2.29,	19836
1964,	4171,	3.52,	32002
1965,	5092,	4.31,	38448
1966,	5933,	4.41,	43554
1967,	5425,	3.45,	38633
1968,	4722,	2.65,	32274
1969,	4251,	2.31,	27550
1970,	3752,	1.92,	23000
1971,	3382,	1.61,	19862
1972,	3423,	1.48,	19477
1973,	3312,	1.35,	17742
1974,	3255,	1.21,	15704
1975,	3269,	0.98,	14452
1976,	3671,	0.99,	15345
1977,	4002,	0.98,	15707
1978,	4164,	0.91,	15190
1979,	4380,	0.87,	14349
1980,	4959,	0.84,	14314
1981,	5537,	0.82,	14488
1982,	6155,	0.83,	15170
1983,	6853,	0.85,	16365
1984,	7055,	0.83,	16150
1985,	7251,	0.77,	16028
1986,	7403,	0.75,	16065
1987,	7591,	0.76,	15893
1988,	9092,	0.85,	18280
1989,	11036,	0.96,	21168
1990,	12429,	0.99,	22618
1991,	13878,	1.05,	24235
1992,	13961,	1.01,	23668
1993,	14305,	1.01,	23546
1994,	13695,	0.94,	21979
1995,	13378,	0.88,	20879
1996,	13881,	0.89,	21042
1997,	14360,	0.90,	21280
1998,	14194,	0.86,	20712
1999,	13636,	0.80,	19467
2000,	13428,	0.75,	18547
2001,	14095,	0.76,	18940
2002,	14405,	0.72,	19045
2003,	14610,	0.68,	18885
2004,	15152,	0.66,	19078
2005,	15602,	0.63,	19001
2006,	15125,	0.57,	17844
2007,	15861,	0.58,	18194
2008,	17833,	0.60,	19700
2009,	17782,	0.57,	19714
2010,	18724,	0.52,	20423
2011,	18448,	0.51,	17833
2012,	17770,	0.50,	17471
2013,	16865,	0.49,	17219
2014,	17647,	0.50,	17647